"filename", "language", "YAML", "Dart", "HTML", "Properties", "C++", "JSON", "Markdown", "Groovy", "Swift", "XML", "comment", "blank", "total"
"c:\Users\amjrr\Documents\GitHub\cryptop\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 1, 7
"c:\Users\amjrr\Documents\GitHub\cryptop\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 4, 12
"c:\Users\amjrr\Documents\GitHub\cryptop\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 2, 14
"c:\Users\amjrr\Documents\GitHub\cryptop\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 1, 123
"c:\Users\amjrr\Documents\GitHub\cryptop\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 1, 24
"c:\Users\amjrr\Documents\GitHub\cryptop\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 2, 5
"c:\Users\amjrr\Documents\GitHub\cryptop\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 1, 1, 38
"c:\Users\amjrr\Documents\GitHub\cryptop\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 1, 1, 27
"c:\Users\amjrr\Documents\GitHub\cryptop\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\app.dart", "Dart", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 64
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\app\const.dart", "Dart", 0, 328, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 331
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\app\dependancies.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\app\dependency.dart", "Dart", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 33
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\app\router.dart", "Dart", 0, 106, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 116
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\components\bottom_navigation\bottom_navigation.dart", "Dart", 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 102
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\components\circular_chart\circular_chart.dart", "Dart", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 48
"c:\Users\amjrr\Documents\GitHub\cryptop\lib\components\clipper\clipper.dart", "Dart", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 43
